Name,ppg,rpg,apg,spg,bpg,fgm,fga,fg%,TO,FG3M,FG3A,FTM,FTA,ft%,3PT%,egp
Malaki Branham,10.196969696969695,2.742424242424242,1.9242424242424243,0.5,0.106060606060606,4.075757575757576,9.257575757575758,44.02618657937808,1.1515151515151516,1.1666666666666667,3.863636363636364,0.8787878787878788,1.0606060606060606,82.85714285714286,30.196078431372552,75
Mikal Bridges,20.132530120481928,4.385542168674699,3.289156626506024,1.0963855421686748,0.7349397590361446,7.144578313253012,15.265060240963855,46.8034727703236,1.5301204819277108,2.036144578313253,5.325301204819277,3.8072289156626495,4.253012048192771,89.51841359773371,38.235294117647065,75
Malcolm Brogdon,14.92537313432836,4.17910447761194,3.701492537313433,0.6716417910447762,0.2686567164179104,5.283582089552239,10.92537313432836,48.36065573770491,1.462686567164179,1.9701492537313432,4.432835820895522,2.388059701492537,2.746268656716418,86.95652173913044,44.44444444444445,75
Dillon Brooks,14.342465753424657,3.3424657534246576,2.589041095890411,0.8904109589041096,0.2191780821917808,5.36986301369863,13.575342465753424,39.55600403632695,1.4246575342465753,1.9589041095890407,6.013698630136986,1.643835616438356,2.1095890410958904,77.92207792207792,32.57403189066059,75
Bruce Brown,11.5375,4.1,3.35,1.0875,0.6375,4.475,9.2625,48.313090418353575,1.5375,1.1375,3.175,1.45,1.9125,75.81699346405229,35.82677165354331,75
Jaylen Brown,26.62686567164179,6.850746268656716,3.462686567164179,1.1194029850746268,0.3880597014925373,10.134328358208956,20.64179104477612,49.09616775126537,2.9402985074626864,2.4328358208955225,7.268656716417911,3.925373134328358,5.134328358208955,76.45348837209302,33.47022587268994,75
Troy Brown Jr.,7.118421052631579,4.052631578947368,1.25,0.7763157894736842,0.2105263157894736,2.631578947368421,6.118421052631579,43.01075268817205,0.6447368421052632,1.4078947368421053,3.697368421052632,0.4473684210526316,0.5131578947368421,87.17948717948717,38.078291814946624,75
Jalen Brunson,24.014705882352946,3.544117647058824,6.191176470588236,0.8970588235294118,0.2205882352941176,8.632352941176471,17.573529411764707,49.12133891213389,2.088235294117647,1.9705882352941173,4.735294117647059,4.779411764705882,5.764705882352941,82.90816326530613,41.61490683229814,75
Reggie Bullock,7.1923076923076925,3.628205128205128,1.3846153846153846,0.6923076923076923,0.1666666666666666,2.4615384615384617,6.0256410256410255,40.85106382978724,0.4615384615384615,1.935897435897436,5.089743589743589,0.3333333333333333,0.4743589743589743,70.27027027027027,38.03526448362721,75
Alec Burks,12.784313725490197,3.0980392156862746,2.235294117647059,0.7450980392156863,0.1568627450980392,3.92156862745098,9.0,43.57298474945534,1.1372549019607845,1.9411764705882355,4.686274509803922,3.0,3.686274509803922,81.38297872340426,41.42259414225941,75
Jimmy Butler,22.90625,5.859375,5.3125,1.828125,0.328125,7.484375,13.875,53.94144144144144,1.578125,0.5625,1.609375,7.375,8.671875,85.04504504504504,34.95145631067961,75
Kentavious Caldwell-Pope,10.81578947368421,2.736842105263158,2.4078947368421053,1.4736842105263157,0.4605263157894737,3.842105263157895,8.31578947368421,46.202531645569614,1.131578947368421,1.7763157894736843,4.197368421052632,1.355263157894737,1.644736842105263,82.4,42.31974921630094,75
Clint Capela,11.984615384615385,11.03076923076923,0.8923076923076924,0.6923076923076923,1.2153846153846153,5.384615384615385,8.246153846153845,65.29850746268659,0.8307692307692308,0.0,0.0153846153846153,1.2153846153846153,2.015384615384616,60.30534351145038,0.0,75
Jevon Carter,8.037037037037036,2.493827160493827,2.432098765432099,0.8148148148148148,0.3580246913580246,2.950617283950617,6.9753086419753085,42.30088495575221,0.9629629629629628,1.7530864197530864,4.160493827160494,0.382716049382716,0.4691358024691358,81.57894736842105,42.13649851632047,75
Wendell Carter Jr.,15.228070175438596,8.719298245614034,2.3157894736842106,0.5263157894736842,0.5789473684210527,5.649122807017544,10.75438596491228,52.52854812398042,1.8596491228070176,1.4035087719298245,3.947368421052632,2.526315789473684,3.421052631578948,73.84615384615384,35.55555555555556,75
Alex Caruso,5.582089552238806,2.925373134328358,2.880597014925373,1.462686567164179,0.6865671641791045,1.9402985074626864,4.268656716417911,45.45454545454545,1.1492537313432836,0.8208955223880597,2.253731343283582,0.8805970149253731,1.0895522388059702,80.82191780821918,36.42384105960265,75
Jordan Clarkson,20.83606557377049,4.032786885245901,4.426229508196721,0.5409836065573771,0.2131147540983606,7.508196721311475,16.901639344262296,44.42289039767216,3.0491803278688523,2.540983606557377,7.524590163934426,3.278688524590164,4.016393442622951,81.63265306122449,33.769063180827885,75
Nic Claxton,12.644736842105264,9.236842105263158,1.894736842105263,0.8552631578947368,2.486842105263158,5.447368421052632,7.723684210526316,70.52810902896081,1.263157894736842,0.0,0.0263157894736842,1.75,3.236842105263158,54.0650406504065,0.0,75
John Collins,13.112676056338028,6.507042253521127,1.1971830985915493,0.5915492957746479,1.028169014084507,5.056338028169014,9.95774647887324,50.777934936350775,1.1126760563380282,0.9859154929577464,3.380281690140845,2.014084507042253,2.507042253521127,80.33707865168539,29.166666666666668,75
Zach Collins,11.603174603174605,6.380952380952381,2.857142857142857,0.5873015873015873,0.7777777777777778,4.507936507936508,8.698412698412698,51.82481751824818,2.0476190476190474,0.873015873015873,2.333333333333333,1.7142857142857142,2.253968253968254,76.05633802816901,37.41496598639456,75
Chance Comanche,7.0,3.0,0.0,0.0,1.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,75
Mike Conley,11.91044776119403,2.716417910447761,6.7164179104477615,1.0895522388059702,0.208955223880597,3.895522388059701,9.1044776119403,42.78688524590165,1.537313432835821,2.014925373134328,5.2388059701492535,2.1044776119402986,2.5223880597014925,83.4319526627219,38.46153846153846,75
Pat Connaughton,7.639344262295082,4.639344262295082,1.2622950819672132,0.6065573770491803,0.180327868852459,2.7049180327868854,6.901639344262295,39.19239904988123,0.5409836065573771,1.786885245901639,5.278688524590164,0.4426229508196721,0.6721311475409836,65.85365853658537,33.85093167701863,75
Torrey Craig,7.443037974683544,5.39240506329114,1.481012658227848,0.6329113924050633,0.7848101265822784,2.8860759493670884,6.329113924050633,45.6,0.9240506329113924,1.2658227848101269,3.2025316455696204,0.4050632911392405,0.569620253164557,71.1111111111111,39.52569169960474,75
Cade Cunningham,21.3,6.166666666666667,6.0,0.8333333333333334,0.5833333333333334,8.9,19.5,45.64102564102564,3.25,2.1,5.083333333333333,3.0,3.583333333333333,83.72093023255813,41.31147540983607,75
Stephen Curry,29.428571428571427,6.089285714285714,6.285714285714286,0.9285714285714286,0.3571428571428571,9.982142857142858,20.232142857142858,49.33804060017653,3.196428571428572,4.875,11.410714285714286,4.589285714285714,5.017857142857143,91.45907473309607,42.72300469483567,75
Anthony Davis,25.910714285714285,12.535714285714286,2.642857142857143,1.0535714285714286,2.0357142857142856,9.678571428571429,17.178571428571427,56.34095634095635,2.1785714285714284,0.3392857142857143,1.3214285714285714,6.214285714285714,7.928571428571429,78.37837837837837,25.67567567567568,75
DeMar DeRozan,24.54054054054054,4.635135135135135,5.094594594594595,1.1216216216216215,0.4864864864864865,8.878378378378379,17.60810810810811,50.422102839600925,2.0675675675675675,0.6216216216216216,1.9189189189189189,6.162162162162162,7.067567567567568,87.18929254302104,32.3943661971831,75
Donte DiVincenzo,9.416666666666666,4.513888888888889,3.5,1.3472222222222223,0.1388888888888889,3.263888888888889,7.5,43.51851851851852,1.5555555555555556,2.083333333333333,5.25,0.8055555555555556,0.9861111111111112,81.69014084507043,39.68253968253968,75
Spencer Dinwiddie,17.329113924050635,3.4177215189873418,6.518987341772152,0.8481012658227848,0.3037974683544304,5.822784810126582,13.291139240506327,43.80952380952381,1.835443037974684,2.2911392405063293,6.2025316455696204,3.392405063291139,4.177215189873418,81.21212121212122,36.93877551020409,75
Luka Doncic,32.39393939393939,8.621212121212121,8.015151515151516,1.3636363636363635,0.5,10.893939393939394,21.954545454545453,49.62042788129745,3.575757575757576,2.803030303030303,8.196969696969697,7.803030303030303,10.515151515151516,74.20749279538904,34.195933456561924,75
Luguentz Dort,13.68918918918919,4.648648648648648,2.081081081081081,1.0135135135135136,0.3108108108108108,4.581081081081081,11.797297297297296,38.83161512027492,1.2432432432432432,1.8243243243243243,5.527027027027027,2.702702702702702,3.5,77.22007722007721,33.00733496332518,75
